epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.05501,1.9416,5.04514,2.11839,0.00097,0.25293,0.0013,0.00025,2.03421,4.08058,2.64745,4.998e-05,4.998e-05,4.998e-05
2,13.703,1.33086,4.65855,1.54644,0.00314,0.80418,0.0179,0.00872,1.24364,3.64193,1.31028,0.000104979,0.000104979,0.000104979
3,20.365,0.87494,4.16238,1.1439,0.00371,0.88027,0.06374,0.04647,0.68422,3.50623,0.96001,0.000157717,0.000157717,0.000157717
4,27.076,0.80264,3.87756,1.06918,0.00482,0.94686,0.10214,0.08389,0.56055,3.30056,0.88209,0.000208192,0.000208192,0.000208192
5,33.6801,0.67955,3.54328,1.01131,0.0071,0.9831,0.21622,0.18243,0.53566,3.17602,0.86854,0.000256406,0.000256406,0.000256406
6,39.95,0.7354,3.13473,1.03614,0.00806,0.98914,0.21846,0.1769,0.55662,3.08782,0.88854,0.000302358,0.000302358,0.000302358
7,46.192,0.68429,2.91033,1.01783,0.00721,0.99756,0.23949,0.20566,0.54255,3.03263,0.87674,0.000346047,0.000346047,0.000346047
8,52.432,0.67342,3.03605,0.97359,0.4685,0.30531,0.23891,0.20072,0.56286,2.93298,0.9093,0.000387475,0.000387475,0.000387475
9,58.66,0.62529,2.88984,0.98156,0.7582,0.11762,0.27442,0.23567,0.53979,2.65963,0.90077,0.000426641,0.000426641,0.000426641
10,64.907,0.67772,2.73634,1.01509,0.47136,0.30107,0.28345,0.24385,0.55343,2.42203,0.91611,0.000463545,0.000463545,0.000463545
11,72.2214,0.61831,2.51142,0.97524,0.41385,0.35048,0.28305,0.23775,0.61994,2.28823,0.92159,0.000498186,0.000498186,0.000498186
12,80.7464,0.59944,2.56026,0.94982,0.42748,0.38628,0.33097,0.28528,0.54607,2.18361,0.8976,0.000530566,0.000530566,0.000530566
13,89.2337,0.66079,2.46366,0.9788,0.4571,0.40184,0.38667,0.33075,0.5303,2.04147,0.90314,0.000544354,0.000544354,0.000544354
14,97.6008,0.62697,2.44128,0.94446,0.43065,0.40442,0.41867,0.35389,0.55489,2.05193,0.90339,0.000530216,0.000530216,0.000530216
15,105.641,0.5899,2.30028,0.95269,0.49662,0.48938,0.41728,0.34835,0.57973,2.00561,0.91519,0.000516079,0.000516079,0.000516079
16,113.698,0.6305,2.299,0.96894,0.53134,0.44444,0.42301,0.35776,0.55454,2.10505,0.91163,0.000501942,0.000501942,0.000501942
17,121.674,0.59251,2.22193,0.94177,0.47963,0.52253,0.46021,0.3961,0.54039,1.9747,0.89784,0.000487805,0.000487805,0.000487805
18,129.759,0.57842,2.20389,0.93836,0.47017,0.64305,0.531,0.46154,0.52475,1.77204,0.90389,0.000473668,0.000473668,0.000473668
19,137.758,0.55902,2.15014,0.941,0.54474,0.5478,0.55297,0.47643,0.52874,1.64902,0.91293,0.00045953,0.00045953,0.00045953
20,145.671,0.55672,1.96828,0.91483,0.47482,0.59631,0.56475,0.48678,0.50854,1.84034,0.89888,0.000445393,0.000445393,0.000445393
21,154.093,0.56824,1.97834,0.95525,0.62382,0.50607,0.5748,0.49487,0.54505,1.72943,0.90958,0.000431256,0.000431256,0.000431256
22,162.149,0.57327,1.86307,0.94711,0.58274,0.62529,0.59882,0.52012,0.52773,1.70553,0.90319,0.000417119,0.000417119,0.000417119
23,170.162,0.56232,1.98559,0.95467,0.58544,0.66533,0.67747,0.58629,0.52784,1.49205,0.91278,0.000402982,0.000402982,0.000402982
24,178.058,0.57331,1.85157,0.95326,0.644,0.70172,0.71037,0.61826,0.51437,1.38289,0.91696,0.000388844,0.000388844,0.000388844
25,185.939,0.50854,1.76886,0.93176,0.59859,0.7221,0.71996,0.62996,0.50581,1.33993,0.90582,0.000374707,0.000374707,0.000374707
26,193.857,0.55239,1.81556,0.92654,0.62646,0.70693,0.71966,0.63455,0.48452,1.32826,0.89276,0.00036057,0.00036057,0.00036057
27,201.758,0.55389,1.71344,0.93764,0.58425,0.74676,0.70809,0.62052,0.50309,1.41686,0.89206,0.000346433,0.000346433,0.000346433
28,209.752,0.56791,1.54623,0.92099,0.61745,0.70484,0.69143,0.60945,0.49101,1.47732,0.89571,0.000332296,0.000332296,0.000332296
29,217.729,0.54068,1.57461,0.91413,0.6213,0.66845,0.69608,0.61724,0.48087,1.46435,0.88907,0.000318158,0.000318158,0.000318158
30,226.226,0.52949,1.58616,0.94708,0.64624,0.70299,0.74826,0.66871,0.46542,1.34922,0.88798,0.000304021,0.000304021,0.000304021
31,234.3,0.47023,1.43789,0.89045,0.69976,0.69923,0.7717,0.69389,0.45335,1.35569,0.88456,0.000289884,0.000289884,0.000289884
32,242.382,0.4933,1.55829,0.91828,0.67126,0.72036,0.77768,0.70138,0.45256,1.28729,0.88451,0.000275747,0.000275747,0.000275747
33,250.601,0.54468,1.47184,0.91663,0.73631,0.74652,0.80723,0.72776,0.45572,1.16711,0.87944,0.00026161,0.00026161,0.00026161
34,258.736,0.46911,1.45479,0.89407,0.78083,0.76346,0.8335,0.75494,0.4501,1.04552,0.87422,0.000247472,0.000247472,0.000247472
35,266.76,0.4597,1.39699,0.87099,0.78133,0.7442,0.83484,0.75688,0.44829,1.04763,0.87209,0.000233335,0.000233335,0.000233335
36,274.852,0.49332,1.37392,0.89704,0.7327,0.7371,0.79902,0.72524,0.43987,1.13531,0.86895,0.000219198,0.000219198,0.000219198
37,282.976,0.45345,1.2812,0.86897,0.77558,0.73083,0.80587,0.72608,0.44786,1.07369,0.86901,0.000205061,0.000205061,0.000205061
38,291.059,0.46713,1.24211,0.88204,0.75737,0.78391,0.82831,0.74896,0.43744,0.99453,0.86961,0.000190924,0.000190924,0.000190924
39,299.105,0.43847,1.24155,0.88092,0.76685,0.77031,0.829,0.75565,0.42051,0.99907,0.8662,0.000176786,0.000176786,0.000176786
40,307.296,0.42201,1.21995,0.87697,0.75598,0.77837,0.83402,0.76161,0.42569,1.00722,0.86452,0.000162649,0.000162649,0.000162649
41,329.785,0.36422,1.39638,0.87043,0.74674,0.78989,0.83575,0.76281,0.42735,1.036,0.8662,0.000148512,0.000148512,0.000148512
42,337.921,0.33367,1.38574,0.83731,0.81783,0.76117,0.85496,0.77805,0.42966,1.06755,0.86847,0.000134375,0.000134375,0.000134375
43,345.868,0.34239,1.36589,0.83314,0.82154,0.78495,0.8631,0.78662,0.42221,1.08991,0.86608,0.000120238,0.000120238,0.000120238
44,353.766,0.32943,1.36759,0.82717,0.82272,0.79495,0.87481,0.80247,0.41033,0.99411,0.86203,0.0001061,0.0001061,0.0001061
45,362.079,0.34525,1.31185,0.86716,0.81377,0.81949,0.88593,0.81376,0.40558,0.89057,0.86051,9.19632e-05,9.19632e-05,9.19632e-05
46,370.269,0.34361,1.2597,0.84855,0.83168,0.81975,0.89061,0.81731,0.40696,0.83354,0.8585,7.7826e-05,7.7826e-05,7.7826e-05
47,378.656,0.32799,1.26675,0.85239,0.84776,0.81026,0.8942,0.82373,0.40026,0.80723,0.85517,6.36888e-05,6.36888e-05,6.36888e-05
48,387.029,0.31275,1.27384,0.84106,0.88936,0.78008,0.89652,0.82746,0.39991,0.80169,0.85353,4.95516e-05,4.95516e-05,4.95516e-05
49,395.386,0.31235,1.25729,0.83661,0.85494,0.82301,0.89796,0.83063,0.4016,0.80289,0.85379,3.54144e-05,3.54144e-05,3.54144e-05
50,403.689,0.31662,1.21279,0.82529,0.85498,0.82106,0.89857,0.83045,0.40222,0.80033,0.85322,2.12772e-05,2.12772e-05,2.12772e-05
